,address,areas,backyard,bathrooms,bedrooms,category,floor_if_condo,municipal,postalcode,price,year
199,"5049 rue de Lanaudière, Le Plateau-Mont-Royal, QC",625 ft² (58.06 m²),East,1.0,1.0,Condominium,3.0,,H2J 3P9,299000,1924
200,"505-4260 rue de Rouen, Mercier / Hochelaga / Maisonneuve, QC",940 ft² (87.33 m²),,2.0,2.0,Condominium,4.0,328700.0,H1V 1G9,360000,2014
201,"302-14241 boulevard Cavendish, Saint-Laurent, QC",1 100 ft² (102.19 m²),,1.0,2.0,Condominium,3.0,,H4R 0E9,415000,2011
202,"201-1844 rue des Carrières, Rosemont / La Petite Patrie, QC",1 325 ft² (123.10 m²),South-East,2.0,3.0,Condominium,1.0,429900.0,H2G 1W3,429500,2008
203,"2520 rue Monsabré, Mercier / Hochelaga / Maisonneuve, QC","1,100 ft² (102.19 m²)",West,1.0,2.0,Condominium,1.0,216300.0,H1N 2K6,270000,2013
204,"106-490 boulevard Galland, Dorval / L'Île Dorval, QC",770 ft² (71.54 m²),,1.0,1.0,Condominium,,,H9S 5T3,172500,1988
205,"102-14450 rue Bernard-Geoffrion, Pointe-Aux-Trembles / Montréal-Est, QC",1 063 ft² (98.76 m²),South,1.0,2.0,Condominium,1.0,240000.0,H1A 0B6,245000,2013
206,"2110-479 avenue Mousseau-Vermette, Dorval / L'Île Dorval, QC",57.9 m² (623.23 ft²),,1.0,1.0,Condominium,1.0,197900.0,H9S 0A6,222900,2012
207,"2109 rue Baldwin, Mercier / Hochelaga / Maisonneuve, QC",1 066 ft² (99.03 m²),,1.0,2.0,Condominium,2.0,,H1L 5A5,257000,2006
208,"6553 23e Avenue, Rosemont / La Petite Patrie, QC",937 ft² (87.05 m²),,1.5,2.0,Condominium,1.0,287.0,H1T 3N3,289000,2008
209,"124-1200 rue Saint-Alexandre, Ville-Marie (Centre-Ville et Vieux Mtl), QC",422 ft² (39.21 m²),,1.5,1.0,Condominium,1.0,,H3B 3H5,245000,2009
210,"3093 rue Lacordaire, Mercier / Hochelaga / Maisonneuve, QC",46.1 m² (496.22 ft²),East,1.0,1.0,Condominium,,170000.0,H1N 2N1,189500,2018
211,"406-4550 2e Avenue, Rosemont / La Petite Patrie, QC",1 146 ft² (106.47 m²),,2.0,3.0,Condominium,4.0,,H1Y 0B2,458900,2015
